Id,Class
31,Perth
32,Perth
33,Sydney
34,Sydney
35,Perth
36,Perth
37,Sydney
38,Sydney
39,Sydney
310,Sydney
311,Melbourne
312,Brisbane
313,Sydney
314,Brisbane
315,Perth
316,Melbourne
317,Brisbane
318,Perth
319,Perth
320,Brisbane
321,Melbourne
322,Perth
323,Melbourne
324,Melbourne
325,Brisbane
326,Brisbane
327,Perth
328,Melbourne
329,Perth
330,Sydney
331,Perth
332,Perth
333,Sydney
334,Perth
335,Sydney
336,Melbourne
337,Brisbane
338,Brisbane
339,Melbourne
340,Perth
341,Brisbane
342,Perth
343,Melbourne
344,Brisbane
345,Melbourne
346,Brisbane
347,Brisbane
348,Perth
349,Perth
350,Brisbane
351,Perth
352,Perth
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Perth
358,Melbourne
359,Melbourne
360,Melbourne
361,Sydney
362,Melbourne
363,Melbourne
364,Sydney
365,Perth
366,Perth
367,Sydney
368,Brisbane
369,Brisbane
370,Melbourne
371,Melbourne
372,Perth
373,Brisbane
374,Brisbane
375,Perth
376,Sydney
377,Perth
378,Melbourne
379,Brisbane
380,Brisbane
381,Sydney
382,Sydney
383,Perth
384,Brisbane
385,Brisbane
386,Brisbane
387,Brisbane
388,Sydney
389,Perth
390,Melbourne
391,Sydney
392,Melbourne
393,Melbourne
394,Brisbane
395,Perth
396,Brisbane
397,Melbourne
398,Brisbane
399,Sydney
3100,Perth
3101,Brisbane
3102,Brisbane
3103,Perth
3104,Brisbane
3105,Melbourne
3106,Sydney
3107,Perth
3108,Brisbane
3109,Brisbane
3110,Perth
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Brisbane
3115,Perth
3116,Melbourne
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Brisbane
3121,Sydney
3122,Melbourne
3123,Brisbane
3124,Brisbane
3125,Sydney
3126,Melbourne
3127,Melbourne
3128,Perth
3129,Perth
3130,Sydney
3131,Brisbane
3132,Perth
3133,Perth
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Sydney
3139,Melbourne
3140,Melbourne
3141,Perth
3142,Sydney
3143,Sydney
3144,Melbourne
3145,Brisbane
3146,Brisbane
3147,Melbourne
3148,Brisbane
3149,Melbourne
3150,Perth
3151,Melbourne
3152,Perth
3153,Melbourne
3154,Sydney
3155,Perth
3156,Sydney
3157,Brisbane
3158,Melbourne
3159,Sydney
3160,Brisbane
3161,Brisbane
3162,Sydney
3163,Brisbane
3164,Brisbane
3165,Perth
3166,Melbourne
3167,Melbourne
3168,Sydney
3169,Brisbane
3170,Sydney
3171,Perth
3172,Brisbane
3173,Sydney
3174,Sydney
3175,Melbourne
3176,Perth
3177,Brisbane
3178,Sydney
3179,Perth
3180,Sydney
3181,Perth
3182,Sydney
3183,Brisbane
3184,Melbourne
3185,Melbourne
3186,Sydney
3187,Perth
3188,Melbourne
3189,Sydney
3190,Perth
3191,Brisbane
3192,Brisbane
3193,Perth
3194,Perth
3195,Brisbane
3196,Perth
3197,Brisbane
3198,Sydney
3199,Perth
3200,Brisbane
3201,Melbourne
3202,Brisbane
3203,Brisbane
3204,Melbourne
3205,Perth
3206,Brisbane
3207,Sydney
3208,Perth
3209,Perth
3210,Brisbane
3211,Brisbane
3212,Perth
3213,Perth
3214,Sydney
3215,Brisbane
3216,Sydney
3217,Perth
3218,Perth
3219,Brisbane
3220,Melbourne
3221,Perth
3222,Melbourne
3223,Melbourne
3224,Melbourne
3225,Perth
3226,Melbourne
3227,Sydney
3228,Brisbane
3229,Brisbane
3230,Perth
3231,Brisbane
3232,Melbourne
3233,Brisbane
3234,Sydney
3235,Perth
3236,Perth
3237,Melbourne
3238,Sydney
3239,Melbourne
3240,Brisbane
