Id,Class
31,Brisbane
32,Brisbane
33,Brisbane
34,Brisbane
35,Brisbane
36,Brisbane
37,Brisbane
38,Brisbane
39,Brisbane
310,Brisbane
311,Brisbane
312,Brisbane
313,Sydney
314,Brisbane
315,Brisbane
316,Brisbane
317,Brisbane
318,Brisbane
319,Brisbane
320,Brisbane
321,Brisbane
322,Brisbane
323,Brisbane
324,Perth
325,Brisbane
326,Brisbane
327,Brisbane
328,Brisbane
329,Brisbane
330,Brisbane
331,Brisbane
332,Brisbane
333,Brisbane
334,Brisbane
335,Brisbane
336,Brisbane
337,Brisbane
338,Brisbane
339,Sydney
340,Brisbane
341,Brisbane
342,Brisbane
343,Melbourne
344,Brisbane
345,Brisbane
346,Brisbane
347,Brisbane
348,Brisbane
349,Brisbane
350,Brisbane
351,Brisbane
352,Brisbane
353,Melbourne
354,Brisbane
355,Brisbane
356,Brisbane
357,Brisbane
358,Brisbane
359,Perth
360,Brisbane
361,Brisbane
362,Brisbane
363,Brisbane
364,Sydney
365,Brisbane
366,Perth
367,Brisbane
368,Brisbane
369,Brisbane
370,Brisbane
371,Brisbane
372,Brisbane
373,Brisbane
374,Brisbane
375,Brisbane
376,Sydney
377,Brisbane
378,Brisbane
379,Brisbane
380,Melbourne
381,Brisbane
382,Brisbane
383,Brisbane
384,Brisbane
385,Brisbane
386,Brisbane
387,Brisbane
388,Brisbane
389,Brisbane
390,Brisbane
391,Brisbane
392,Brisbane
393,Brisbane
394,Brisbane
395,Brisbane
396,Brisbane
397,Brisbane
398,Brisbane
399,Brisbane
3100,Brisbane
3101,Brisbane
3102,Brisbane
3103,Brisbane
3104,Melbourne
3105,Brisbane
3106,Brisbane
3107,Brisbane
3108,Brisbane
3109,Brisbane
3110,Brisbane
3111,Perth
3112,Brisbane
3113,Brisbane
3114,Brisbane
3115,Brisbane
3116,Brisbane
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Brisbane
3121,Brisbane
3122,Brisbane
3123,Brisbane
3124,Brisbane
3125,Brisbane
3126,Melbourne
3127,Brisbane
3128,Brisbane
3129,Brisbane
3130,Sydney
3131,Brisbane
3132,Perth
3133,Brisbane
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Brisbane
3138,Brisbane
3139,Brisbane
3140,Brisbane
3141,Brisbane
3142,Brisbane
3143,Brisbane
3144,Brisbane
3145,Brisbane
3146,Brisbane
3147,Brisbane
3148,Brisbane
3149,Brisbane
3150,Brisbane
3151,Brisbane
3152,Brisbane
3153,Brisbane
3154,Sydney
3155,Brisbane
3156,Brisbane
3157,Brisbane
3158,Brisbane
3159,Brisbane
3160,Brisbane
3161,Brisbane
3162,Brisbane
3163,Brisbane
3164,Brisbane
3165,Brisbane
3166,Melbourne
3167,Brisbane
3168,Brisbane
3169,Brisbane
3170,Brisbane
3171,Brisbane
3172,Brisbane
3173,Brisbane
3174,Brisbane
3175,Brisbane
3176,Brisbane
3177,Brisbane
3178,Brisbane
3179,Brisbane
3180,Brisbane
3181,Brisbane
3182,Brisbane
3183,Brisbane
3184,Melbourne
3185,Brisbane
3186,Brisbane
3187,Brisbane
3188,Brisbane
3189,Brisbane
3190,Brisbane
3191,Brisbane
3192,Brisbane
3193,Brisbane
3194,Brisbane
3195,Sydney
3196,Brisbane
3197,Brisbane
3198,Brisbane
3199,Brisbane
3200,Brisbane
3201,Brisbane
3202,Brisbane
3203,Brisbane
3204,Brisbane
3205,Brisbane
3206,Brisbane
3207,Brisbane
3208,Brisbane
3209,Brisbane
3210,Brisbane
3211,Brisbane
3212,Brisbane
3213,Brisbane
3214,Sydney
3215,Brisbane
3216,Brisbane
3217,Brisbane
3218,Brisbane
3219,Brisbane
3220,Brisbane
3221,Sydney
3222,Brisbane
3223,Brisbane
3224,Melbourne
3225,Brisbane
3226,Brisbane
3227,Brisbane
3228,Brisbane
3229,Brisbane
3230,Brisbane
3231,Brisbane
3232,Brisbane
3233,Brisbane
3234,Sydney
3235,Brisbane
3236,Brisbane
3237,Brisbane
3238,Brisbane
3239,Brisbane
3240,Brisbane
3241,Brisbane
3242,Brisbane
3243,Brisbane
3244,Brisbane
3245,Brisbane
3246,Brisbane
3247,Brisbane
3248,Brisbane
3249,Brisbane
3250,Perth
3251,Brisbane
3252,Brisbane
3253,Sydney
3254,Brisbane
3255,Brisbane
3256,Sydney
3257,Brisbane
3258,Brisbane
3259,Brisbane
3260,Brisbane
3261,Brisbane
3262,Brisbane
3263,Brisbane
3264,Brisbane
3265,Brisbane
3266,Brisbane
3267,Brisbane
3268,Brisbane
3269,Melbourne
3270,Brisbane
3271,Brisbane
3272,Brisbane
3273,Brisbane
3274,Brisbane
3275,Brisbane
3276,Perth
3277,Brisbane
3278,Brisbane
3279,Perth
3280,Brisbane
3281,Brisbane
3282,Brisbane
3283,Brisbane
3284,Brisbane
3285,Brisbane
3286,Melbourne
3287,Brisbane
3288,Brisbane
3289,Brisbane
3290,Brisbane
3291,Brisbane
3292,Sydney
3293,Brisbane
3294,Brisbane
3295,Brisbane
3296,Brisbane
3297,Brisbane
3298,Sydney
3299,Brisbane
3300,Brisbane
3301,Sydney
3302,Brisbane
3303,Brisbane
3304,Perth
3305,Brisbane
3306,Brisbane
3307,Brisbane
3308,Brisbane
3309,Brisbane
3310,Brisbane
3311,Brisbane
3312,Brisbane
3313,Brisbane
3314,Brisbane
3315,Brisbane
3316,Brisbane
3317,Brisbane
3318,Brisbane
3319,Brisbane
3320,Brisbane
3321,Brisbane
3322,Brisbane
3323,Brisbane
3324,Brisbane
3325,Brisbane
3326,Melbourne
3327,Brisbane
3328,Brisbane
3329,Brisbane
3330,Brisbane
3331,Perth
3332,Brisbane
3333,Brisbane
3334,Brisbane
3335,Brisbane
3336,Brisbane
3337,Brisbane
3338,Brisbane
3339,Brisbane
3340,Melbourne
3341,Brisbane
3342,Brisbane
3343,Sydney
3344,Brisbane
3345,Brisbane
3346,Melbourne
3347,Brisbane
3348,Brisbane
3349,Brisbane
3350,Brisbane
3351,Brisbane
3352,Brisbane
3353,Brisbane
3354,Brisbane
3355,Brisbane
3356,Melbourne
3357,Brisbane
3358,Brisbane
3359,Brisbane
3360,Brisbane
3361,Brisbane
3362,Brisbane
3363,Brisbane
3364,Brisbane
3365,Brisbane
3366,Brisbane
3367,Brisbane
3368,Brisbane
3369,Brisbane
