Id,Class
31,Perth
32,Melbourne
33,Melbourne
34,Melbourne
35,Perth
36,Perth
37,Sydney
38,Sydney
39,Brisbane
310,Sydney
311,Brisbane
312,Brisbane
313,Sydney
314,Brisbane
315,Sydney
316,Melbourne
317,Perth
318,Sydney
319,Perth
320,Perth
321,Melbourne
322,Perth
323,Perth
324,Melbourne
325,Perth
326,Melbourne
327,Perth
328,Sydney
329,Brisbane
330,Sydney
331,Brisbane
332,Perth
333,Brisbane
334,Perth
335,Sydney
336,Brisbane
337,Melbourne
338,Brisbane
339,Melbourne
340,Perth
341,Sydney
342,Brisbane
343,Melbourne
344,Sydney
345,Melbourne
346,Perth
347,Brisbane
348,Perth
349,Brisbane
350,Brisbane
351,Perth
352,Sydney
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Perth
358,Melbourne
359,Perth
360,Melbourne
361,Melbourne
362,Melbourne
363,Melbourne
364,Sydney
365,Perth
366,Perth
367,Perth
368,Brisbane
369,Perth
370,Brisbane
371,Sydney
372,Perth
373,Melbourne
374,Brisbane
375,Sydney
376,Sydney
377,Perth
378,Melbourne
379,Perth
380,Sydney
381,Sydney
382,Brisbane
383,Perth
384,Perth
385,Sydney
386,Brisbane
387,Melbourne
388,Sydney
389,Perth
390,Brisbane
391,Sydney
392,Brisbane
393,Perth
394,Brisbane
395,Perth
396,Sydney
397,Melbourne
398,Sydney
399,Sydney
3100,Melbourne
3101,Melbourne
3102,Brisbane
3103,Perth
3104,Brisbane
3105,Melbourne
3106,Perth
3107,Perth
3108,Brisbane
3109,Perth
3110,Perth
3111,Perth
3112,Perth
3113,Brisbane
3114,Perth
3115,Perth
3116,Perth
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Melbourne
3121,Melbourne
3122,Melbourne
3123,Sydney
3124,Brisbane
3125,Brisbane
3126,Melbourne
3127,Perth
3128,Perth
3129,Perth
3130,Sydney
3131,Perth
3132,Perth
3133,Brisbane
3134,Brisbane
3135,Perth
3136,Sydney
3137,Perth
3138,Sydney
3139,Perth
3140,Melbourne
3141,Perth
3142,Perth
3143,Sydney
3144,Melbourne
3145,Sydney
3146,Melbourne
3147,Perth
3148,Melbourne
3149,Brisbane
3150,Perth
3151,Perth
3152,Perth
3153,Melbourne
3154,Sydney
3155,Perth
3156,Sydney
3157,Perth
3158,Melbourne
3159,Sydney
3160,Sydney
3161,Sydney
3162,Sydney
3163,Brisbane
3164,Perth
3165,Perth
3166,Melbourne
3167,Melbourne
3168,Perth
3169,Perth
3170,Brisbane
3171,Melbourne
3172,Perth
3173,Sydney
3174,Sydney
3175,Perth
3176,Brisbane
3177,Melbourne
3178,Sydney
3179,Perth
3180,Perth
3181,Perth
3182,Sydney
3183,Perth
3184,Perth
3185,Perth
3186,Perth
3187,Perth
3188,Sydney
3189,Brisbane
3190,Perth
3191,Brisbane
3192,Sydney
3193,Melbourne
3194,Perth
3195,Sydney
3196,Brisbane
3197,Brisbane
3198,Sydney
3199,Melbourne
3200,Perth
3201,Perth
3202,Perth
3203,Melbourne
3204,Melbourne
3205,Perth
3206,Sydney
3207,Sydney
3208,Brisbane
3209,Perth
3210,Sydney
3211,Melbourne
3212,Sydney
3213,Perth
3214,Sydney
3215,Brisbane
3216,Brisbane
3217,Perth
3218,Perth
3219,Sydney
3220,Melbourne
3221,Sydney
3222,Perth
3223,Melbourne
3224,Melbourne
3225,Perth
3226,Melbourne
3227,Sydney
3228,Perth
3229,Sydney
3230,Perth
3231,Perth
3232,Sydney
3233,Melbourne
3234,Sydney
3235,Perth
3236,Brisbane
3237,Sydney
3238,Sydney
3239,Melbourne
3240,Melbourne
3241,Brisbane
3242,Perth
3243,Brisbane
3244,Melbourne
3245,Melbourne
3246,Perth
3247,Sydney
3248,Perth
3249,Melbourne
3250,Brisbane
3251,Perth
3252,Brisbane
3253,Sydney
3254,Sydney
3255,Perth
3256,Sydney
3257,Brisbane
3258,Perth
3259,Melbourne
3260,Brisbane
3261,Perth
3262,Melbourne
3263,Melbourne
3264,Perth
3265,Melbourne
3266,Sydney
3267,Sydney
3268,Sydney
3269,Melbourne
3270,Melbourne
3271,Sydney
3272,Melbourne
3273,Perth
3274,Melbourne
3275,Perth
3276,Brisbane
3277,Perth
3278,Melbourne
3279,Perth
3280,Brisbane
3281,Sydney
3282,Perth
3283,Sydney
3284,Perth
3285,Melbourne
3286,Melbourne
3287,Brisbane
3288,Melbourne
3289,Melbourne
3290,Perth
3291,Melbourne
3292,Sydney
3293,Melbourne
3294,Brisbane
3295,Sydney
3296,Brisbane
3297,Sydney
3298,Sydney
3299,Perth
3300,Perth
3301,Sydney
3302,Sydney
3303,Sydney
3304,Perth
3305,Perth
3306,Sydney
3307,Brisbane
3308,Brisbane
3309,Melbourne
3310,Sydney
3311,Sydney
3312,Melbourne
3313,Perth
3314,Sydney
3315,Sydney
3316,Perth
3317,Melbourne
3318,Perth
3319,Sydney
3320,Brisbane
3321,Melbourne
3322,Melbourne
3323,Perth
3324,Perth
3325,Sydney
3326,Sydney
3327,Brisbane
3328,Melbourne
3329,Perth
3330,Melbourne
3331,Perth
3332,Melbourne
3333,Melbourne
3334,Melbourne
3335,Brisbane
3336,Perth
3337,Brisbane
3338,Sydney
3339,Brisbane
3340,Melbourne
3341,Brisbane
3342,Melbourne
3343,Sydney
3344,Sydney
3345,Perth
3346,Melbourne
3347,Sydney
3348,Sydney
3349,Sydney
3350,Brisbane
3351,Sydney
3352,Brisbane
3353,Melbourne
3354,Brisbane
3355,Melbourne
3356,Sydney
3357,Melbourne
3358,Perth
3359,Sydney
3360,Perth
3361,Brisbane
3362,Sydney
3363,Melbourne
3364,Sydney
3365,Sydney
3366,Melbourne
3367,Sydney
3368,Melbourne
3369,Melbourne
3370,Melbourne
3371,Melbourne
3372,Perth
3373,Sydney
3374,Perth
3375,Sydney
3376,Perth
3377,Melbourne
3378,Brisbane
3379,Perth
3380,Melbourne
3381,Sydney
3382,Melbourne
3383,Melbourne
