Id,Class
31,Brisbane
32,Brisbane
33,Sydney
34,Perth
35,Perth
36,Brisbane
37,Sydney
38,Melbourne
39,Sydney
310,Brisbane
311,Melbourne
312,Brisbane
313,Sydney
314,Brisbane
315,Brisbane
316,Perth
317,Melbourne
318,Brisbane
319,Perth
320,Perth
321,Sydney
322,Sydney
323,Perth
324,Perth
325,Brisbane
326,Brisbane
327,Perth
328,Melbourne
329,Brisbane
330,Sydney
331,Melbourne
332,Brisbane
333,Perth
334,Sydney
335,Sydney
336,Perth
337,Brisbane
338,Brisbane
339,Sydney
340,Perth
341,Sydney
342,Perth
343,Melbourne
344,Melbourne
345,Brisbane
346,Brisbane
347,Sydney
348,Melbourne
349,Brisbane
350,Brisbane
351,Perth
352,Melbourne
353,Melbourne
354,Melbourne
355,Sydney
356,Brisbane
357,Brisbane
358,Melbourne
359,Perth
360,Sydney
361,Melbourne
362,Melbourne
363,Melbourne
364,Sydney
365,Brisbane
366,Perth
367,Perth
368,Brisbane
369,Perth
370,Brisbane
371,Sydney
372,Perth
373,Perth
374,Brisbane
375,Perth
376,Sydney
377,Brisbane
378,Brisbane
379,Sydney
380,Brisbane
381,Melbourne
382,Brisbane
383,Perth
384,Sydney
385,Sydney
386,Brisbane
387,Melbourne
388,Sydney
389,Brisbane
390,Brisbane
391,Sydney
392,Perth
393,Perth
394,Brisbane
395,Perth
396,Sydney
397,Melbourne
398,Sydney
399,Sydney
3100,Melbourne
3101,Melbourne
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Sydney
3107,Perth
3108,Melbourne
3109,Brisbane
3110,Perth
3111,Perth
3112,Brisbane
3113,Brisbane
3114,Brisbane
3115,Perth
3116,Sydney
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Melbourne
3121,Brisbane
3122,Melbourne
3123,Brisbane
3124,Brisbane
3125,Brisbane
3126,Melbourne
3127,Perth
3128,Brisbane
3129,Brisbane
3130,Sydney
3131,Perth
3132,Perth
3133,Sydney
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Melbourne
3139,Sydney
3140,Sydney
3141,Brisbane
3142,Brisbane
3143,Brisbane
3144,Melbourne
3145,Sydney
3146,Perth
3147,Sydney
3148,Perth
3149,Sydney
3150,Brisbane
3151,Perth
3152,Brisbane
3153,Brisbane
3154,Sydney
3155,Perth
3156,Brisbane
3157,Perth
3158,Melbourne
3159,Sydney
3160,Brisbane
3161,Brisbane
3162,Sydney
3163,Brisbane
3164,Perth
3165,Perth
3166,Melbourne
3167,Melbourne
3168,Perth
3169,Perth
3170,Brisbane
3171,Melbourne
3172,Brisbane
3173,Brisbane
3174,Brisbane
3175,Brisbane
3176,Brisbane
3177,Brisbane
3178,Sydney
3179,Perth
3180,Sydney
3181,Brisbane
3182,Sydney
3183,Melbourne
3184,Perth
3185,Sydney
3186,Sydney
3187,Perth
3188,Sydney
3189,Sydney
3190,Brisbane
3191,Perth
3192,Sydney
3193,Perth
3194,Perth
3195,Brisbane
3196,Brisbane
3197,Brisbane
3198,Sydney
3199,Brisbane
3200,Perth
3201,Brisbane
3202,Brisbane
3203,Sydney
3204,Melbourne
3205,Perth
3206,Perth
3207,Perth
3208,Brisbane
3209,Perth
3210,Sydney
3211,Melbourne
3212,Perth
3213,Perth
3214,Sydney
3215,Brisbane
3216,Melbourne
3217,Perth
3218,Perth
3219,Sydney
3220,Melbourne
3221,Sydney
3222,Brisbane
3223,Melbourne
3224,Melbourne
3225,Brisbane
3226,Melbourne
3227,Sydney
3228,Brisbane
3229,Brisbane
3230,Brisbane
3231,Perth
3232,Brisbane
3233,Melbourne
3234,Sydney
3235,Perth
3236,Brisbane
3237,Melbourne
3238,Melbourne
3239,Melbourne
3240,Melbourne
3241,Brisbane
3242,Perth
3243,Brisbane
3244,Melbourne
3245,Perth
3246,Brisbane
3247,Sydney
3248,Perth
3249,Melbourne
3250,Perth
3251,Brisbane
3252,Brisbane
3253,Sydney
3254,Brisbane
3255,Brisbane
3256,Sydney
3257,Brisbane
3258,Brisbane
3259,Sydney
3260,Brisbane
3261,Perth
3262,Melbourne
3263,Sydney
3264,Brisbane
3265,Melbourne
3266,Sydney
3267,Sydney
3268,Melbourne
3269,Melbourne
3270,Perth
3271,Sydney
3272,Brisbane
3273,Brisbane
3274,Melbourne
3275,Perth
3276,Perth
3277,Brisbane
3278,Brisbane
3279,Perth
3280,Brisbane
3281,Sydney
3282,Brisbane
3283,Sydney
3284,Perth
3285,Perth
3286,Melbourne
3287,Brisbane
3288,Brisbane
3289,Sydney
3290,Perth
3291,Melbourne
3292,Sydney
3293,Melbourne
3294,Brisbane
3295,Perth
3296,Brisbane
3297,Melbourne
3298,Sydney
3299,Perth
3300,Brisbane
3301,Sydney
3302,Sydney
3303,Sydney
3304,Perth
3305,Melbourne
3306,Brisbane
3307,Sydney
3308,Sydney
3309,Brisbane
3310,Melbourne
3311,Sydney
3312,Melbourne
3313,Sydney
3314,Sydney
3315,Sydney
3316,Perth
3317,Melbourne
3318,Perth
3319,Sydney
3320,Brisbane
3321,Melbourne
3322,Sydney
3323,Brisbane
3324,Brisbane
3325,Perth
3326,Sydney
3327,Brisbane
3328,Brisbane
3329,Perth
3330,Sydney
3331,Perth
3332,Brisbane
3333,Brisbane
3334,Melbourne
3335,Brisbane
3336,Perth
3337,Melbourne
3338,Sydney
3339,Melbourne
3340,Melbourne
3341,Brisbane
3342,Brisbane
3343,Sydney
3344,Brisbane
3345,Brisbane
3346,Melbourne
3347,Sydney
3348,Brisbane
3349,Perth
3350,Brisbane
3351,Brisbane
3352,Perth
3353,Perth
3354,Sydney
3355,Perth
3356,Sydney
3357,Melbourne
3358,Perth
3359,Sydney
3360,Melbourne
3361,Brisbane
3362,Perth
3363,Melbourne
3364,Sydney
3365,Sydney
3366,Brisbane
3367,Sydney
3368,Melbourne
3369,Melbourne
3370,Brisbane
3371,Melbourne
3372,Sydney
3373,Sydney
3374,Perth
3375,Sydney
3376,Perth
3377,Melbourne
3378,Brisbane
3379,Sydney
3380,Brisbane
3381,Brisbane
3382,Melbourne
3383,Sydney
3384,Perth
3385,Brisbane
3386,Perth
3387,Brisbane
3388,Melbourne
3389,Brisbane
3390,Brisbane
3391,Sydney
3392,Brisbane
3393,Sydney
3394,Perth
3395,Sydney
3396,Melbourne
